12:55:40,31.33,1,5,31.35_31.40_31.48_31.50_,1_3_1_80_,31.18_31.17_,1_20_
12:56:51,31.33,1,5,31.35_31.40_31.52_,1_3_81_,31.21_31.20_,1_20_
12:57:32,31.33,1,5,31.35_31.40_31.49_31.51_,1_3_1_80_,31.19_31.18_,1_20_
13:00:01,31.33,1,5,31.35_31.40_31.52_,1_3_81_,31.22_31.20_,1_20_
13:01:54,31.33,1,5,31.35_31.40_31.50_31.51_,1_3_1_80_,31.20_31.18_,1_20_
13:02:04,31.33,1,5,31.35_31.40_31.52_,1_3_81_,31.22_31.20_,1_20_
13:02:51,31.33,1,5,31.35_31.40_31.49_31.50_,1_3_1_80_,31.19_31.18_,1_20_
13:03:01,31.33,1,5,31.35_31.40_31.53_,1_3_81_,31.21_,20_
13:03:06,31.33,1,5,31.35_31.40_31.52_,1_3_81_,31.21_31.20_,1_20_
13:03:11,31.33,1,5,31.35_31.40_31.51_,1_3_81_,31.21_31.19_,1_20_
13:04:23,31.33,1,5,31.35_31.40_31.52_,1_3_81_,31.22_31.20_,1_20_
13:04:28,31.33,1,5,31.35_31.40_31.52_31.53_,1_3_1_80_,31.20_,20_
13:05:50,31.33,1,5,31.35_31.40_31.50_31.51_,1_3_1_80_,31.20_31.18_,1_20_
13:06:30,31.33,1,5,31.35_31.40_31.52_,1_3_81_,31.22_31.19_,1_20_
13:06:36,31.33,1,5,31.35_31.40_31.52_31.53_,1_3_1_80_,31.22_31.20_,1_20_
13:06:46,31.33,1,5,31.35_31.40_31.50_31.51_,1_3_80_1_,31.21_31.18_,1_20_
13:07:52,31.33,1,5,31.35_31.40_31.52_,1_3_81_,31.22_31.20_,1_20_
13:08:13,31.33,1,5,31.35_31.40_31.53_,1_3_81_,31.23_31.20_,1_20_
13:08:18,31.33,1,5,31.35_31.40_31.52_,1_3_81_,31.22_31.20_,1_20_
13:08:23,31.33,1,5,31.35_31.40_31.51_31.52_,1_3_1_80_,31.21_31.19_,1_20_
13:08:28,31.33,1,5,31.35_31.40_31.52_,1_3_80_,31.21_31.20_,1_20_
13:08:33,31.33,1,5,31.35_31.40_31.52_,1_3_81_,31.22_31.20_,1_20_
13:11:02,31.33,1,5,31.35_31.40_31.52_31.53_,1_3_1_80_,31.22_31.20_,1_20_
13:11:17,31.33,1,5,31.35_31.40_31.53_,1_3_81_,31.23_31.21_,1_20_
13:11:58,31.33,1,5,31.35_31.40_31.52_,1_3_81_,31.21_31.20_,1_20_
13:12:54,31.33,1,5,31.35_31.40_31.52_,1_3_81_,31.22_31.19_,1_20_
13:13:05,31.33,1,5,31.35_31.40_31.54_,1_3_81_,31.23_31.22_,1_20_
13:13:15,31.33,1,5,31.35_31.40_31.53_31.54_,1_3_1_80_,31.22_31.21_,1_20_
13:13:25,31.33,1,5,31.35_31.40_31.54_,1_3_81_,31.23_31.22_,1_20_
13:13:40,31.33,1,5,31.35_31.40_31.53_31.54_,1_3_1_80_,31.23_31.21_,1_20_
13:14:11,31.33,1,5,31.35_31.40_31.54_,1_3_81_,31.24_31.22_,1_20_
13:15:28,31.33,1,5,31.35_31.40_31.53_31.54_,1_3_1_80_,31.23_31.22_,1_20_
13:15:43,31.33,1,5,31.35_31.40_31.54_31.55_,1_3_1_80_,31.24_31.22_,1_20_
13:15:48,31.33,1,5,31.35_31.40_31.54_,1_3_1_,31.23_31.22_,1_20_
13:16:14,31.33,1,5,31.35_31.40_31.54_,1_3_81_,31.23_31.22_,1_20_
