tse_1101.twtse_1102.twtse_1216.twtse_1227.twtse_1301.twtse_1303.twtse_1314.twtse_1319.twtse_1326.twtse_1402.twtse_1434.twtse_1440.twtse_1476.twtse_1477.twtse_1504.twtse_1507.twtse_1590.twtse_1605.twtse_1710.twtse_1717.twtse_1722.twtse_1723.twtse_1789.twtse_1802.twtse_1907.twtse_2002.twtse_2006.twtse_2015.twtse_2049.twtse_2059.twtse_2101.twtse_2103.twtse_2105.twtse_2106.twtse_2201.twtse_2204.twtse_2206.twtse_2207.twtse_2227.twtse_2301.twtse_2303.twtse_2308.twtse_2311.twtse_2317.twtse_2324.twtse_2325.twtse_2327.twtse_2330.twtse_2337.twtse_2344.twtse_2347.twtse_2352.twtse_2353.twtse_2354.twtse_2356.twtse_2357.twtse_2360.twtse_2362.twtse_2376.twtse_2377.twtse_2379.twtse_2382.twtse_2385.twtse_2392.twtse_2393.twtse_2395.twtse_2408.twtse_2409.twtse_2412.twtse_2439.twtse_2448.twtse_2449.twtse_2451.twtse_2454.twtse_2474.twtse_2498.twtse_2501.twtse_2511.twtse_2542.twtse_2603.twtse_2606.twtse_2609.twtse_2610.twtse_2615.twtse_2618.twtse_2707.twtse_2723.twtse_2727.twtse_2801.twtse_2809.twtse_2812.twtse_2823.twtse_2834.twtse_2838.twtse_2845.twtse_2855.twtse_2880.twtse_2881.twtse_2882.twtse_2883.twtse_2884.twtse_2885.twtse_2886.twtse_2887.twtse_2888.twtse_2890.twtse_2891.twtse_2892.twtse_2903.twtse_2912.twtse_2915.twtse_3008.twtse_3034.twtse_3037.twtse_3044.twtse_3045.twtse_3060.twtse_3189.twtse_3231.twtse_3474.twtse_3481.twtse_3576.twtse_3673.twtse_3682.twtse_3702.twtse_4904.twtse_4938.twtse_4958.twtse_5264.twtse_5522.twtse_5871.twtse_5880.twtse_6005.twtse_6116.twtse_6176.twtse_6239.twtse_6271.twtse_6286.twtse_6505.twtse_8046.twtse_8150.twtse_9904.twtse_9907.twtse_9910.twtse_9914.twtse_9917.twtse_9921.twtse_9933.twtse_9940.twtse_9945.tw
[ERROR] msgArray not 150 error
         51829 function calls (50330 primitive calls) in 0.134 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       19    0.000    0.000    0.000    0.000 shlex.py:120(read_token)
        6    0.000    0.000    0.000    0.000 structures.py:42(__init__)
       28    0.000    0.000    0.000    0.000 abc.py:128(__instancecheck__)
        1    0.000    0.000    0.000    0.000 {_socket.getaddrinfo}
      831    0.000    0.000    0.000    0.000 sre_parse.py:147(append)
        1    0.000    0.000    0.000    0.000 hashlib.py:56(<module>)
     1008    0.000    0.000    0.000    0.000 sre_parse.py:135(__len__)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
      201    0.000    0.000    0.000    0.000 sre_compile.py:428(_simple)
        2    0.000    0.000    0.000    0.000 re.py:138(match)
        1    0.000    0.000    0.000    0.000 api.py:12(<module>)
        1    0.000    0.000    0.000    0.000 adapters.py:232(get_connection)
      485    0.000    0.000    0.000    0.000 urllib.py:1212(<genexpr>)
      485    0.000    0.000    0.000    0.000 urlparse.py:332(<genexpr>)
        1    0.000    0.000    0.000    0.000 csv.py:4(<module>)
        1    0.000    0.000    0.000    0.000 util.py:76(find_library)
        1    0.000    0.000    0.000    0.000 stringprep.py:6(<module>)
        3    0.000    0.000    0.000    0.000 dyld.py:125(dyld_find)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 exceptions.py:9(<module>)
       23    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
        1    0.000    0.000    0.000    0.000 mimetools.py:24(__init__)
       46    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x103bdb7e8}
       13    0.000    0.000    0.000    0.000 abc.py:105(register)
        1    0.000    0.000    0.000    0.000 status_codes.py:3(<module>)
        1    0.000    0.000    0.000    0.000 cookielib.py:1201(CookieJar)
        5    0.000    0.000    0.000    0.000 {method 'decode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 netrc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:74(_Feature)
        7    0.000    0.000    0.000    0.000 sessions.py:42(merge_setting)
        1    0.000    0.000    0.000    0.000 response.py:261(from_httplib)
        4    0.000    0.000    0.000    0.000 cookielib.py:1534(_cookies_from_attrs_set)
        1    0.000    0.000    0.000    0.000 rfc822.py:88(__init__)
        1    0.000    0.000    0.000    0.000 poolmanager.py:121(connection_from_url)
       15    0.000    0.000    0.000    0.000 urlparse.py:137(urlparse)
        1    0.000    0.000    0.000    0.000 httplib.py:238(readheaders)
        1    0.000    0.000    0.000    0.000 __init__.py:5(<module>)
      136    0.000    0.000    0.000    0.000 sre_parse.py:234(_class_escape)
        2    0.000    0.000    0.000    0.000 models.py:714(content)
        1    0.000    0.000    0.000    0.000 sessions.py:10(<module>)
      501    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 warnings.py:46(filterwarnings)
        1    0.000    0.000    0.000    0.000 decoder.py:24(_floatconstants)
        2    0.000    0.000    0.000    0.000 cookielib.py:911(set_ok)
        4    0.000    0.000    0.000    0.000 ssl.py:111(_import_symbols)
      258    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      515    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
        5    0.000    0.000    0.000    0.000 __init__.py:1560(getLogger)
        1    0.000    0.000    0.000    0.000 urllib.py:1480(getproxies)
        1    0.000    0.000    0.000    0.000 poolmanager.py:93(connection_from_host)
        1    0.000    0.000    0.000    0.000 sessions.py:648(close)
     1544    0.000    0.000    0.000    0.000 {chr}
        2    0.000    0.000    0.000    0.000 models.py:649(generate)
      948    0.000    0.000    0.000    0.000 {min}
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 compat.py:18(fromhex)
        1    0.000    0.000    0.000    0.000 poolmanager.py:1(<module>)
        2    0.000    0.000    0.000    0.000 cookielib.py:1442(_cookie_from_cookie_tuple)
        5    0.000    0.000    0.000    0.000 __init__.py:1018(getLogger)
        2    0.000    0.000    0.000    0.000 response.py:239(stream)
        1    0.000    0.000    0.000    0.000 urllib.py:1129(splitport)
        1    0.000    0.000    0.000    0.000 {posix.urandom}
       10    0.000    0.000    0.000    0.000 compat.py:8(u)
        2    0.000    0.000    0.000    0.000 adapters.py:255(close)
        2    0.000    0.000    0.000    0.000 poolmanager.py:84(clear)
      177    0.000    0.000    0.000    0.000 sre_parse.py:266(_escape)
       65    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
        1    0.000    0.000    0.000    0.000 {posix.popen}
        2    0.000    0.000    0.000    0.000 _collections.py:85(clear)
        1    0.000    0.000    0.000    0.000 response.py:143(read)
       60    0.000    0.000    0.000    0.000 sre_parse.py:187(__init__)
      531    0.000    0.000    0.000    0.000 {getattr}
        1    0.000    0.000    0.000    0.000 _collections.py:1(<module>)
      292    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        2    0.000    0.000    0.000    0.000 adapters.py:82(__init__)
        1    0.000    0.000    0.000    0.000 scanner.py:4(_import_c_make_scanner)
        2    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 cookies.py:7(<module>)
       18    0.000    0.000    0.000    0.000 urlparse.py:168(urlsplit)
        1    0.000    0.000    0.000    0.000 response.py:75(__init__)
        1    0.000    0.000    0.000    0.000 poolmanager.py:67(_new_pool)
       45    0.000    0.000    0.000    0.000 sre_parse.py:225(isname)
        1    0.000    0.000    0.000    0.000 urllib.py:1466(getproxies_macosx_sysconf)
        1    0.000    0.000    0.000    0.000 {_scproxy._get_proxies}
        1    0.000    0.000    0.000    0.000 connectionpool.py:142(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
        2    0.000    0.000    0.000    0.000 adapters.py:116(init_poolmanager)
