09:25:42,9.00,6,1206,9.01_9.02_9.03_9.04_9.05_,860_799_550_550_415_,8.99_8.98_8.97_8.96_8.95_,1492_1555_1649_1055_1078_
09:25:53,9.00,6,1206,9.01_9.02_9.03_9.04_9.05_,860_799_550_550_415_,8.99_8.98_8.97_8.96_8.95_,1492_1755_1449_1055_1078_
09:26:13,9.00,6,1206,9.01_9.02_9.03_9.04_9.05_,860_799_550_550_415_,8.99_8.98_8.97_8.96_8.95_,1492_1555_1649_1055_1078_
09:26:28,9.00,6,1206,9.01_9.02_9.03_9.04_9.05_,860_799_550_550_415_,8.99_8.98_8.97_8.96_8.95_,1492_1755_1449_1055_1078_
09:26:33,9.00,6,1206,9.00_9.01_9.02_9.03_9.04_,5_860_799_550_550_,8.99_8.98_8.97_8.96_8.95_,1492_1755_1449_1055_1078_
09:26:49,9.00,6,1206,9.00_9.01_9.02_9.03_9.04_,10_860_799_550_550_,8.99_8.98_8.97_8.96_8.95_,1492_1755_1449_1055_1078_
09:27:30,9.00,10,1216,9.01_9.02_9.03_9.04_9.05_,860_799_550_550_415_,9.00_8.99_8.98_8.97_8.96_,40_1592_1755_1449_1055_
09:27:40,9.00,10,1216,9.01_9.02_9.03_9.04_9.05_,860_799_550_550_415_,9.00_8.99_8.98_8.97_8.96_,40_1592_1856_1449_1055_
09:28:21,9.00,40,1256,9.00_9.01_9.02_9.03_9.04_,100_960_599_550_550_,8.99_8.98_8.97_8.96_8.95_,1592_1656_1360_1344_1078_
09:28:36,9.00,40,1256,9.01_9.02_9.03_9.04_9.05_,860_799_550_550_415_,8.99_8.98_8.97_8.96_8.95_,1592_1657_1649_1055_1078_
09:28:47,9.00,40,1256,9.01_9.02_9.03_9.04_9.05_,860_799_550_550_416_,8.99_8.98_8.97_8.96_8.95_,1592_1657_1649_1055_1078_
09:29:38,9.00,40,1256,9.01_9.02_9.03_9.04_9.05_,860_799_550_550_416_,8.99_8.98_8.97_8.96_8.95_,1592_1857_1450_1055_1078_
09:29:48,9.00,40,1256,9.01_9.02_9.03_9.04_9.05_,860_799_550_550_416_,9.00_8.99_8.98_8.97_8.96_,50_1592_1657_1650_1055_
09:29:59,9.00,40,1256,9.01_9.02_9.03_9.04_9.05_,860_799_550_550_416_,9.00_8.99_8.98_8.97_8.96_,50_1642_1707_1650_1055_
09:30:19,9.00,20,1276,9.01_9.02_9.03_9.04_9.05_,860_799_550_550_416_,9.00_8.99_8.98_8.97_8.96_,30_1642_1707_1650_1055_
09:30:45,9.00,30,1306,9.00_9.01_9.02_9.03_9.04_,599_960_599_550_550_,8.99_8.98_8.97_8.96_8.95_,1342_1707_1361_1344_1078_
09:31:16,8.99,100,1406,9.00_9.01_9.02_9.03_9.04_,849_810_550_550_597_,8.99_8.98_8.97_8.96_8.95_,547_1349_1411_1594_1078_
09:31:31,8.99,100,1406,9.00_9.01_9.02_9.03_9.04_,849_810_550_550_597_,8.99_8.98_8.97_8.96_8.95_,547_1349_1411_1594_1078_
09:31:41,8.99,100,1506,9.00_9.01_9.02_9.03_9.04_,849_810_550_550_597_,8.99_8.98_8.97_8.96_8.95_,747_1349_1111_1305_1367_
09:32:12,8.99,100,1506,9.00_9.01_9.02_9.03_9.04_,849_810_550_550_597_,8.99_8.98_8.97_8.96_8.95_,747_1049_1111_1305_1367_
09:32:17,8.99,100,1506,9.00_9.01_9.02_9.03_9.04_,849_810_550_550_597_,8.99_8.98_8.97_8.96_8.95_,747_1349_1111_1305_1367_
09:32:27,8.99,100,1506,9.00_9.01_9.02_9.03_9.04_,849_810_550_550_597_,8.99_8.98_8.97_8.96_8.95_,747_1049_1111_1305_1367_
09:32:48,8.99,150,1656,9.00_9.01_9.02_9.03_9.04_,849_810_550_550_597_,8.99_8.98_8.97_8.96_8.95_,697_1349_1111_1305_1367_
09:33:39,8.99,150,1656,9.00_9.01_9.02_9.03_9.04_,769_710_750_550_597_,8.99_8.98_8.97_8.96_8.95_,697_1449_1411_1394_1078_
09:34:00,8.99,150,1656,9.00_9.01_9.02_9.03_9.04_,769_710_750_550_597_,8.99_8.98_8.97_8.96_8.95_,697_1449_1411_1394_1078_
09:34:20,8.99,150,1656,9.00_9.01_9.02_9.03_9.04_,769_710_750_550_597_,8.99_8.98_8.97_8.96_8.95_,797_1800_1411_1394_1078_
09:34:25,8.99,150,1656,9.00_9.01_9.02_9.03_9.04_,769_710_750_550_597_,8.99_8.98_8.97_8.96_8.95_,797_1449_1411_1394_1078_
09:34:56,8.99,150,1656,9.00_9.01_9.02_9.03_9.04_,769_710_750_550_597_,8.99_8.98_8.97_8.96_8.95_,797_1549_1511_1394_1078_
09:35:21,8.99,150,1656,9.00_9.01_9.02_9.03_9.04_,769_710_750_550_597_,8.99_8.98_8.97_8.96_8.95_,798_1549_1511_1394_1078_
09:35:26,8.99,150,1656,9.00_9.01_9.02_9.03_9.04_,769_710_750_550_597_,8.99_8.98_8.97_8.96_8.95_,799_1549_1511_1394_1078_
09:35:42,8.99,150,1656,9.00_9.01_9.02_9.03_9.04_,769_710_750_550_597_,8.99_8.98_8.97_8.96_8.95_,898_1903_1511_1394_1078_
09:36:07,9.00,300,1956,9.00_9.01_9.02_9.03_9.04_,569_810_550_550_597_,8.99_8.98_8.97_8.96_8.95_,904_1903_1511_1394_1078_
09:36:28,8.99,100,2056,9.00_9.01_9.02_9.03_9.04_,569_810_550_550_597_,8.99_8.98_8.97_8.96_8.95_,405_1549_1661_1544_1078_
09:36:38,9.00,5,2061,9.00_9.01_9.02_9.03_9.04_,564_810_550_550_597_,8.99_8.98_8.97_8.96_8.95_,405_1549_1661_1255_1078_
09:36:54,8.99,100,2261,9.00_9.01_9.02_9.03_9.04_,564_810_550_550_597_,8.99_8.98_8.97_8.96_8.95_,505_1549_1311_1305_1367_
09:37:09,8.99,100,2261,9.00_9.01_9.02_9.03_9.04_,564_810_550_550_597_,8.99_8.98_8.97_8.96_8.95_,505_1549_1511_1394_1078_
09:37:14,8.99,100,2261,9.00_9.01_9.02_9.03_9.04_,464_710_750_550_597_,8.99_8.98_8.97_8.96_8.95_,505_1549_1511_1394_1078_
09:37:45,8.99,100,2261,9.00_9.01_9.02_9.03_9.04_,564_810_550_550_597_,8.99_8.98_8.97_8.96_8.95_,505_1549_1311_1305_1367_
09:38:05,8.99,100,2261,9.00_9.01_9.02_9.03_9.04_,464_710_750_550_597_,8.99_8.98_8.97_8.96_8.95_,505_1549_1511_1394_1078_
09:38:21,8.99,100,2261,9.00_9.01_9.02_9.03_9.04_,564_860_599_550_748_,8.99_8.98_8.97_8.96_8.95_,505_1549_1311_1594_1078_
09:38:56,8.99,100,2261,9.00_9.01_9.02_9.03_9.04_,464_760_799_550_748_,8.99_8.98_8.97_8.96_8.95_,507_1549_1511_1394_1079_
09:39:43,8.99,100,2261,9.00_9.01_9.02_9.03_9.04_,464_760_799_550_748_,8.99_8.98_8.97_8.96_8.95_,607_1899_1511_1394_1079_
09:40:03,8.99,100,2261,9.00_9.01_9.02_9.03_9.04_,564_860_599_550_748_,8.99_8.98_8.97_8.96_8.95_,507_1549_1311_1594_1079_
09:40:54,8.99,100,2261,9.00_9.01_9.02_9.03_9.04_,564_860_599_550_748_,8.99_8.98_8.97_8.96_8.95_,507_1249_1311_1305_1368_
09:41:10,8.99,100,2261,9.00_9.01_9.02_9.03_9.04_,564_860_599_550_748_,8.99_8.98_8.97_8.96_8.95_,507_1549_1311_1305_1368_
09:41:35,8.99,20,2281,9.00_9.01_9.02_9.03_9.04_,564_860_599_550_748_,8.99_8.98_8.97_8.96_8.95_,487_1249_1311_1305_1368_
09:42:11,8.99,20,2281,9.00_9.01_9.02_9.03_9.04_,564_860_599_550_748_,8.99_8.98_8.97_8.96_8.95_,487_1549_1311_1305_1368_
09:42:37,8.99,20,2281,9.00_9.01_9.02_9.03_9.04_,564_860_599_550_748_,8.99_8.98_8.97_8.96_8.95_,587_1649_1311_1594_1079_
