10:20:06,40.03,3,3,40.06_40.07_40.08_40.21_,1_10_11_100_,39.79_39.78_39.77_39.76_39.71_,1_10_10_10_1_
10:20:31,40.03,3,3,40.07_40.08_40.09_40.21_,1_11_10_100_,39.80_39.79_39.78_39.71_39.68_,10_11_10_1_1_
10:22:29,40.03,3,3,40.08_40.09_40.21_,12_10_100_,39.80_39.79_39.78_39.71_39.69_,11_10_10_1_1_
10:22:39,40.03,3,3,40.06_40.07_40.08_40.21_,1_10_11_100_,39.79_39.78_39.77_39.71_39.67_,11_10_10_1_1_
10:24:48,40.03,3,3,40.06_40.07_40.08_40.21_,1_10_11_100_,39.79_39.78_39.77_39.71_39.67_,11_10_10_1_1_
10:27:26,40.03,3,3,40.05_40.06_40.08_40.21_,11_10_1_100_,39.78_39.77_39.76_39.75_39.71_,1_10_10_10_1_
10:29:50,40.03,3,3,40.05_40.06_40.08_40.21_,11_10_1_100_,39.77_39.76_39.75_39.71_39.66_,11_10_10_1_1_
10:30:10,40.03,3,3,40.06_40.07_40.08_40.21_,11_10_1_100_,39.78_39.77_39.76_39.71_39.66_,10_11_10_1_1_
10:33:20,40.03,3,3,40.06_40.07_40.08_40.21_,11_10_1_100_,39.79_39.78_39.77_39.76_39.71_,1_10_10_10_1_
10:33:56,40.03,3,3,40.07_40.08_40.21_,11_11_100_,39.79_39.78_39.77_39.71_39.68_,11_10_10_1_1_
10:35:54,40.03,3,3,40.06_40.07_40.08_40.21_,1_10_11_100_,39.79_39.78_39.77_39.71_39.67_,10_11_10_1_1_
10:35:59,40.03,3,3,40.06_40.07_40.08_40.21_,1_10_11_100_,39.79_39.78_39.77_39.71_39.67_,11_10_10_1_1_
10:36:35,40.03,3,3,40.06_40.07_40.08_40.21_,1_10_11_100_,39.79_39.78_39.77_39.71_39.67_,11_10_10_1_1_
10:41:01,40.03,3,3,40.07_40.08_40.10_40.21_,11_10_1_100_,39.79_39.78_39.77_39.73_39.68_,11_10_10_1_1_
10:41:06,40.03,3,3,40.07_40.08_40.09_40.10_40.21_,1_10_10_1_100_,39.79_39.78_39.77_39.73_39.68_,11_10_10_1_1_
10:41:32,40.03,3,3,40.06_40.07_40.10_40.21_,11_10_1_100_,39.79_39.78_39.77_39.76_39.73_,1_10_10_10_1_
10:41:37,40.03,3,3,40.06_40.07_40.08_40.10_40.21_,1_10_10_1_100_,39.79_39.78_39.77_39.73_39.67_,11_10_10_1_1_
10:43:25,40.03,3,3,40.07_40.08_40.10_40.21_,10_11_1_100_,39.80_39.79_39.78_39.77_39.73_,1_10_10_10_1_
10:43:30,40.03,3,3,40.08_40.09_40.10_40.21_,11_10_1_100_,39.80_39.79_39.78_39.73_39.68_,11_10_10_1_1_
10:44:31,40.03,3,3,40.06_40.07_40.08_40.21_,10_10_1_100_,39.78_39.77_39.76_39.71_39.66_,11_10_10_1_1_
10:45:07,40.03,3,3,40.07_40.08_40.21_,11_11_100_,39.79_39.78_39.77_39.71_39.67_,11_10_10_1_1_
10:46:55,40.03,3,3,40.07_40.08_40.09_40.21_,11_10_1_100_,39.79_39.78_39.77_39.73_39.68_,11_10_10_1_1_
