09:00:22,37.60,2,4,42.84_42.85_,1_2_,37.60_37.20_36.80_,1_4_5_
10:10:26,37.93,3,14,38.35_38.36_42.84_42.85_,10_10_1_2_,37.97_37.96_37.95_37.20_36.80_,10_10_10_4_5_
10:12:09,37.93,3,14,38.35_38.36_42.84_42.85_,10_10_1_2_,37.96_37.95_37.94_37.20_36.80_,10_10_10_4_5_
10:12:19,37.93,3,14,38.27_38.28_42.84_42.85_,10_10_1_2_,37.89_37.88_37.87_37.20_36.80_,10_10_10_4_5_
10:13:05,37.93,3,14,38.34_38.35_42.84_42.85_,10_10_1_2_,37.95_37.94_37.93_37.20_36.80_,10_10_10_4_5_
10:13:10,37.93,3,14,38.27_38.28_42.84_42.85_,10_10_1_2_,37.89_37.88_37.87_37.20_36.80_,10_10_10_4_5_
10:13:41,37.93,3,14,38.33_38.34_42.84_42.85_,10_10_1_2_,37.95_37.94_37.93_37.20_36.80_,10_10_10_4_5_
10:15:54,37.93,3,14,38.33_38.34_42.84_42.85_,10_10_1_2_,37.95_37.94_37.93_37.20_36.80_,10_10_10_4_5_
10:16:35,37.93,3,14,38.26_38.27_42.84_42.85_,10_10_1_2_,37.88_37.87_37.86_37.20_36.80_,10_10_10_4_5_
10:17:31,37.93,3,14,38.34_38.35_42.84_42.85_,10_10_1_2_,37.96_37.95_37.94_37.20_36.80_,10_10_10_4_5_
10:19:24,37.93,3,14,38.34_38.35_42.84_42.85_,10_10_1_2_,37.95_37.94_37.93_37.20_36.80_,10_10_10_4_5_
10:19:50,37.93,3,14,38.35_38.36_42.84_42.85_,10_10_1_2_,37.96_37.95_37.94_37.20_36.80_,10_10_10_4_5_
10:21:12,37.93,3,14,38.34_38.35_42.84_42.85_,10_10_1_2_,37.96_37.95_37.94_37.20_36.80_,10_10_10_4_5_
10:22:18,37.93,3,14,38.27_38.28_42.84_42.85_,10_10_1_2_,37.89_37.88_37.87_37.20_36.80_,10_10_10_4_5_
10:22:54,37.93,3,14,38.35_38.36_42.84_42.85_,10_10_1_2_,37.96_37.95_37.94_37.20_36.80_,10_10_10_4_5_
10:23:15,37.93,3,14,38.27_38.28_42.84_42.85_,10_10_1_2_,37.89_37.88_37.87_37.20_36.80_,10_10_10_4_5_
10:23:25,37.93,3,14,38.34_38.35_42.84_42.85_,10_10_1_2_,37.96_37.95_37.94_37.20_36.80_,10_10_10_4_5_
10:23:35,37.93,3,14,38.35_38.36_42.84_42.85_,10_10_1_2_,37.97_37.96_37.95_37.20_36.80_,10_10_10_4_5_
10:25:38,37.93,3,14,38.34_38.35_42.84_42.85_,10_10_1_2_,37.96_37.95_37.94_37.20_36.80_,10_10_10_4_5_
10:25:43,37.93,3,14,38.35_38.36_42.84_42.85_,10_10_1_2_,37.96_37.95_37.94_37.20_36.80_,10_10_10_4_5_
10:25:53,37.93,3,14,38.35_38.36_42.84_42.85_,10_10_1_2_,37.96_37.95_37.94_37.20_36.80_,10_10_10_4_5_
10:25:58,37.93,3,14,38.34_38.35_42.84_42.85_,10_10_1_2_,37.96_37.95_37.94_37.20_36.80_,10_10_10_4_5_
10:28:37,37.93,3,14,38.26_38.27_42.84_42.85_,10_10_1_2_,37.88_37.87_37.86_37.20_36.80_,10_10_10_4_5_
10:28:48,37.93,3,14,38.33_38.34_42.84_42.85_,10_10_1_2_,37.95_37.94_37.93_37.20_36.80_,10_10_10_4_5_
10:29:18,37.93,3,14,38.34_38.35_42.84_42.85_,10_10_1_2_,37.96_37.95_37.94_37.20_36.80_,10_10_10_4_5_
10:29:34,37.93,3,14,38.33_38.34_42.84_42.85_,10_10_1_2_,37.95_37.94_37.93_37.20_36.80_,10_10_10_4_5_
10:29:59,37.93,3,14,38.34_38.35_42.84_42.85_,10_10_1_2_,37.96_37.95_37.94_37.20_36.80_,10_10_10_4_5_
10:30:15,37.93,3,14,38.26_38.27_42.84_42.85_,10_10_1_2_,37.88_37.87_37.86_37.20_36.80_,10_10_10_4_5_
10:30:20,37.93,3,14,38.34_38.35_42.84_42.85_,10_10_1_2_,37.96_37.95_37.94_37.20_36.80_,10_10_10_4_5_
10:30:25,37.93,3,14,38.27_38.28_42.84_42.85_,10_10_1_2_,37.89_37.88_37.87_37.20_36.80_,10_10_10_4_5_
10:30:30,37.93,3,14,38.34_38.35_42.84_42.85_,10_10_1_2_,37.96_37.95_37.94_37.20_36.80_,10_10_10_4_5_
10:31:16,37.93,3,14,38.27_38.28_42.84_42.85_,10_10_1_2_,37.89_37.88_37.87_37.20_36.80_,10_10_10_4_5_
10:34:00,37.93,3,14,38.35_38.36_42.84_42.85_,10_10_1_2_,37.96_37.95_37.94_37.20_36.80_,10_10_10_4_5_
10:35:58,37.93,3,14,38.35_38.36_42.84_42.85_,10_10_1_2_,37.97_37.96_37.95_37.20_36.80_,10_10_10_4_5_
10:36:13,37.93,3,14,38.35_38.36_42.84_42.85_,10_10_1_2_,37.97_37.96_37.95_37.20_36.80_,10_10_10_4_5_
10:37:15,37.93,3,14,38.28_38.29_42.84_42.85_,10_10_1_2_,37.90_37.89_37.88_37.20_36.80_,10_10_10_4_5_
10:37:20,37.93,3,14,38.35_38.36_42.84_42.85_,10_10_1_2_,37.97_37.96_37.95_37.20_36.80_,10_10_10_4_5_
10:37:30,37.93,3,14,38.34_38.35_42.84_42.85_,10_10_1_2_,37.96_37.95_37.94_37.20_36.80_,10_10_10_4_5_
10:37:35,37.93,3,14,38.35_38.36_42.84_42.85_,10_10_1_2_,37.97_37.96_37.95_37.20_36.80_,10_10_10_4_5_
10:37:40,37.93,3,14,38.35_38.36_42.84_42.85_,10_10_1_2_,37.96_37.95_37.94_37.20_36.80_,10_10_10_4_5_
10:38:42,37.93,3,14,38.34_38.35_42.84_42.85_,10_10_1_2_,37.96_37.95_37.94_37.20_36.80_,10_10_10_4_5_
10:39:23,37.93,3,14,38.27_38.28_42.84_42.85_,10_10_1_2_,37.89_37.88_37.87_37.20_36.80_,10_10_10_4_5_
10:39:28,37.93,3,14,38.34_38.35_42.84_42.85_,10_10_1_2_,37.96_37.95_37.94_37.20_36.80_,10_10_10_4_5_
10:41:20,37.93,3,14,38.34_38.35_42.84_42.85_,10_10_1_2_,37.95_37.94_37.93_37.20_36.80_,10_10_10_4_5_
10:41:30,37.93,3,14,38.26_38.27_42.84_42.85_,10_10_1_2_,37.88_37.87_37.86_37.20_36.80_,10_10_10_4_5_
10:44:25,37.93,3,14,38.34_38.35_42.84_42.85_,10_10_1_2_,37.95_37.94_37.93_37.20_36.80_,10_10_10_4_5_
10:45:31,37.93,3,14,38.26_38.27_42.84_42.85_,10_10_1_2_,37.88_37.87_37.86_37.20_36.80_,10_10_10_4_5_
10:46:18,37.93,3,14,38.26_38.27_42.84_42.85_,10_10_1_2_,37.88_37.87_37.86_37.20_36.80_,10_10_10_4_5_
10:46:23,37.93,3,14,38.34_38.35_42.84_42.85_,10_10_1_2_,37.95_37.94_37.93_37.20_36.80_,10_10_10_4_5_
10:46:28,37.93,3,14,38.26_38.27_42.84_42.85_,10_10_1_2_,37.88_37.87_37.86_37.20_36.80_,10_10_10_4_5_
10:48:00,37.93,3,14,38.34_38.35_42.84_42.85_,10_10_1_2_,37.95_37.94_37.93_37.20_36.80_,10_10_10_4_5_
10:50:08,37.93,3,14,38.33_38.34_42.84_42.85_,10_10_1_2_,37.95_37.94_37.93_37.20_36.80_,10_10_10_4_5_
10:50:13,37.93,3,14,38.26_38.27_42.84_42.85_,10_10_1_2_,37.88_37.87_37.86_37.20_36.80_,10_10_10_4_5_
10:52:21,37.93,3,14,38.32_38.33_42.84_42.85_,10_10_1_2_,37.94_37.93_37.92_37.20_36.80_,10_10_10_4_5_
10:52:31,37.93,3,14,38.33_38.34_42.84_42.85_,10_10_1_2_,37.94_37.93_37.92_37.20_36.80_,10_10_10_4_5_
10:52:37,37.93,3,14,38.32_38.33_42.84_42.85_,10_10_1_2_,37.94_37.93_37.92_37.20_36.80_,10_10_10_4_5_
10:55:00,37.93,3,14,38.33_38.34_42.84_42.85_,10_10_1_2_,38.14_37.95_37.94_37.93_37.20_,5_10_10_10_4_
10:55:15,37.93,3,14,38.26_38.27_42.84_42.85_,10_10_1_2_,38.07_37.87_37.86_37.85_37.20_,5_10_10_10_4_
10:55:20,37.93,3,14,38.33_38.34_42.84_42.85_,10_10_1_2_,38.15_37.95_37.94_37.93_37.20_,5_10_10_10_4_
10:55:36,37.93,3,14,38.33_38.34_42.84_42.85_,10_10_1_2_,38.07_37.94_37.93_37.92_37.20_,5_10_10_10_4_
10:56:17,37.93,3,14,38.25_38.26_42.84_42.85_,10_10_1_2_,38.07_37.87_37.86_37.85_37.20_,5_10_10_10_4_
10:56:37,37.93,3,14,38.26_38.27_42.84_42.85_,10_10_1_2_,38.07_37.87_37.86_37.85_37.20_,5_10_10_10_4_
10:59:06,37.93,3,14,38.32_38.33_42.84_42.85_,10_10_1_2_,38.14_37.94_37.93_37.92_37.20_,5_10_10_10_4_
10:59:16,37.93,3,14,38.33_38.34_42.84_42.85_,10_10_1_2_,38.15_37.94_37.93_37.92_37.20_,5_10_10_10_4_
11:00:18,37.93,3,14,38.25_38.26_42.84_42.85_,10_10_1_2_,38.14_37.87_37.86_37.85_37.20_,5_10_10_10_4_
