09:02:45,22.01,2,2,22.10_23.00_,1_102_,22.01_21.50_20.15_20.00_,3_1_1_2_
11:26:52,22.04,1,5,22.09_22.10_22.15_22.32_23.00_,2_2_8_100_2_,22.01_21.60_21.57_21.55_21.50_,9_1_15_1_1_
11:27:33,22.04,1,5,22.09_22.10_22.15_22.32_23.00_,2_2_8_100_2_,22.01_21.60_21.57_21.55_21.50_,8_2_15_1_1_
11:28:34,22.04,1,5,22.09_22.10_22.15_22.32_23.00_,2_2_8_100_2_,22.01_21.60_21.57_21.55_21.50_,8_2_15_1_1_
11:29:15,22.04,1,5,22.09_22.10_22.15_22.32_23.00_,2_2_8_100_2_,22.01_21.60_21.57_21.55_21.50_,8_2_15_1_1_
11:29:20,22.04,1,5,22.09_22.10_22.15_22.32_23.00_,2_2_8_100_2_,22.01_21.60_21.57_21.55_21.50_,9_1_15_1_1_
11:30:07,22.04,1,5,22.09_22.10_22.15_22.32_23.00_,2_2_8_100_2_,22.01_21.60_21.57_21.55_21.50_,9_1_15_1_1_
11:30:17,22.04,1,5,22.09_22.10_22.15_22.32_23.00_,2_2_8_100_2_,22.01_21.60_21.57_21.55_21.50_,8_2_15_1_1_
11:31:08,22.04,1,5,22.09_22.10_22.32_23.00_,2_2_100_2_,21.60_21.57_21.55_21.50_20.15_,2_15_1_1_1_
11:37:07,22.04,1,5,22.09_22.10_22.17_22.32_23.00_,2_2_8_100_2_,22.03_21.60_21.57_21.55_21.50_,8_2_15_1_1_
12:25:49,22.04,1,5,22.09_22.10_22.32_23.00_,2_2_100_2_,21.60_21.57_21.55_21.50_20.15_,2_15_1_1_1_
12:26:51,22.04,1,5,22.09_22.10_22.32_23.00_,2_2_100_2_,21.62_21.60_21.57_21.55_21.50_,3_1_15_1_1_
12:56:03,22.04,1,5,22.09_22.10_23.00_,2_2_102_,21.62_21.60_21.57_21.55_21.50_,3_1_15_1_1_
12:57:20,22.04,1,5,22.09_22.10_23.00_,2_2_102_,21.62_21.60_21.57_21.55_21.50_,3_1_15_1_1_
13:25:26,22.04,1,5,22.09_22.10_22.11_23.00_,2_2_1_2_,21.99_21.62_21.60_21.57_21.55_,1_2_1_15_1_
13:30:00,22.04,1,5,22.09_22.10_23.00_,2_2_2_,21.62_21.60_21.57_21.55_21.50_,2_1_15_1_1_
