12:58:08,28.40,2,2,28.39_28.44_,80_2_,28.17_28.09_,1_20_
12:59:30,28.40,2,2,28.41_28.45_,80_2_,28.17_28.11_,1_20_
13:01:02,28.40,2,2,28.41_28.46_,80_2_,28.18_28.12_,1_20_
13:01:43,28.40,2,2,28.40_28.46_,80_2_,28.19_28.11_,1_20_
13:03:05,28.40,2,2,28.41_28.47_,80_1_,28.19_28.12_,1_20_
13:06:04,28.40,2,2,28.40_28.47_,80_1_,28.19_28.11_,1_20_
13:07:26,28.40,2,2,28.42_28.48_,80_1_,28.21_28.13_,1_20_
13:07:32,28.40,2,2,28.41_28.46_,80_1_,28.19_28.12_,1_20_
13:11:22,28.40,2,2,28.40_,80_,28.18_28.11_,1_20_
13:11:33,28.40,2,2,28.39_28.45_,80_1_,28.18_28.10_,1_20_
13:13:20,28.40,2,2,28.40_28.44_,80_1_,28.16_28.11_,1_20_
13:13:36,28.40,2,2,28.40_28.45_,80_2_,28.17_28.10_,1_20_
13:13:41,28.40,2,2,28.39_28.45_,80_2_,28.10_,20_
13:13:46,28.40,2,2,28.39_28.45_,80_2_,28.17_28.10_,1_20_
13:13:56,28.40,2,2,28.38_28.44_,80_1_,28.17_28.09_,1_20_
13:14:06,28.40,2,2,28.40_28.45_,80_2_,28.18_28.10_,1_20_
13:17:06,28.40,2,2,28.40_28.48_,80_1_,28.20_28.11_,1_20_
13:17:41,28.40,2,2,28.40_28.47_,80_2_,28.20_28.11_,1_20_
13:19:14,28.40,2,2,28.43_28.48_,80_2_,28.21_28.13_,1_20_
13:23:15,28.40,2,2,28.43_28.49_,80_1_,28.21_28.14_,1_20_
13:25:23,28.40,2,2,28.48_28.50_,1_2_,28.32_28.23_,1_1_
13:29:34,28.40,2,2,28.50_,2_,28.23_,1_
13:30:00,28.40,2,2,28.50_,2_,28.23_,1_
