12:33:19,29.78,1,41,29.80_29.81_30.23_30.40_30.50_,2_8_105_1_2_,29.64_29.63_28.80_28.79_28.52_,3_8_4_15_1_
12:34:16,29.78,1,41,29.80_29.81_30.23_30.40_30.50_,2_8_105_1_2_,29.64_29.63_28.80_28.79_28.52_,3_8_4_15_1_
12:34:57,29.78,1,41,29.80_29.81_30.23_30.40_30.50_,2_8_105_1_2_,29.64_29.63_28.80_28.79_28.52_,3_8_4_15_1_
12:35:22,29.78,1,41,29.80_29.81_30.23_30.40_30.50_,2_8_105_1_2_,29.64_29.63_28.80_28.79_28.52_,3_8_4_15_1_
12:37:41,29.78,1,41,29.80_29.81_30.23_30.40_30.50_,2_8_105_1_2_,29.64_29.63_28.80_28.79_28.52_,3_8_4_15_1_
12:39:44,29.78,1,41,29.80_29.81_30.23_30.40_30.50_,2_8_105_1_2_,29.64_29.63_28.80_28.79_28.52_,3_8_4_15_1_
12:40:20,29.78,1,41,29.80_29.81_30.23_30.40_30.50_,2_8_105_1_2_,29.64_29.63_28.80_28.79_28.52_,3_9_3_15_1_
12:43:44,29.78,1,41,29.80_29.84_30.23_30.40_30.50_,2_8_105_1_2_,29.66_29.64_28.80_28.79_28.52_,9_3_4_15_1_
12:44:10,29.78,1,41,29.80_29.84_30.23_30.40_30.50_,2_8_105_1_2_,29.66_29.64_28.80_28.79_28.52_,9_3_3_15_1_
12:44:15,29.78,1,41,29.80_29.84_30.23_30.40_30.50_,2_8_105_1_2_,29.66_29.64_28.80_28.79_28.52_,9_3_4_15_1_
12:45:22,29.78,1,41,29.80_29.84_30.23_30.40_30.50_,2_8_105_1_2_,29.66_29.64_28.80_28.79_28.52_,9_4_3_15_1_
12:45:57,29.78,1,41,29.80_29.84_30.23_30.40_30.50_,2_8_105_1_2_,29.66_29.64_28.80_28.79_28.52_,9_3_4_15_1_
12:46:03,29.78,1,41,29.80_29.84_30.23_30.40_30.50_,2_8_105_1_2_,29.66_29.64_28.80_28.79_28.52_,10_3_3_15_1_
12:49:02,29.78,1,41,29.80_29.84_30.23_30.40_30.50_,2_8_105_1_2_,29.66_29.64_28.80_28.79_28.52_,9_4_3_15_1_
12:52:53,29.78,1,41,29.80_29.84_30.23_30.40_30.50_,2_8_105_1_2_,29.66_29.64_28.80_28.79_28.52_,9_3_4_15_1_
12:53:23,29.78,1,41,29.80_29.84_30.23_30.40_30.50_,2_8_105_1_2_,29.66_29.64_28.80_28.79_28.52_,9_3_3_15_1_
12:53:28,29.78,1,41,29.80_29.84_30.23_30.40_30.50_,2_8_105_1_2_,29.66_29.64_28.80_28.79_28.52_,9_3_4_15_1_
12:53:39,29.78,1,41,29.80_29.84_30.23_30.40_30.50_,2_8_105_1_2_,29.66_29.64_28.80_28.79_28.52_,10_3_3_15_1_
12:54:55,29.78,1,41,29.80_29.84_30.23_30.40_30.50_,2_8_105_1_2_,29.66_29.64_28.80_28.79_28.52_,9_3_4_15_1_
13:00:18,29.78,1,41,29.80_29.84_30.23_30.40_30.50_,2_8_105_1_2_,29.66_29.64_28.80_28.79_28.52_,9_3_3_15_1_
13:05:10,29.78,1,41,29.80_29.84_30.23_30.40_30.50_,2_8_105_1_2_,29.66_29.64_28.80_28.79_28.52_,9_3_4_15_1_
13:06:16,29.78,1,41,29.80_29.84_30.23_30.40_30.50_,2_8_105_1_2_,29.66_29.64_28.80_28.79_28.52_,10_3_3_15_1_
13:06:47,29.78,1,41,29.80_29.84_30.23_30.40_30.50_,2_8_105_1_2_,29.66_29.64_28.80_28.79_28.52_,9_3_3_15_1_
13:07:23,29.78,1,41,29.80_29.84_30.23_30.40_30.50_,2_8_105_1_2_,29.66_29.64_28.80_28.79_28.52_,9_4_3_15_1_
13:07:38,29.78,1,41,29.80_29.84_30.23_30.40_30.50_,2_8_105_1_2_,29.66_29.64_28.80_28.79_28.52_,9_4_3_15_1_
13:07:43,29.78,1,41,29.80_29.84_30.23_30.40_30.50_,2_8_105_1_2_,29.66_29.64_28.80_28.79_28.52_,10_3_3_15_1_
13:08:55,29.78,1,41,29.80_29.84_30.23_30.40_30.50_,2_8_105_1_2_,29.66_29.64_28.80_28.79_28.52_,9_4_3_15_1_
13:09:10,29.78,1,41,29.80_29.84_30.23_30.40_30.50_,2_8_105_1_2_,29.66_29.64_28.80_28.79_28.52_,9_3_4_15_1_
13:09:20,29.78,1,41,29.80_29.84_30.23_30.40_30.50_,2_8_105_1_2_,29.66_29.64_28.80_28.79_28.52_,9_4_3_15_1_
13:09:26,29.78,1,41,29.80_29.84_30.23_30.40_30.50_,2_8_105_1_2_,29.66_29.64_28.80_28.79_28.52_,9_3_4_15_1_
13:12:09,29.78,1,41,29.80_29.84_30.23_30.40_30.50_,2_8_105_1_2_,29.66_29.64_28.80_28.79_28.52_,9_4_3_15_1_
13:13:20,29.78,1,41,29.80_29.84_30.23_30.40_30.50_,2_8_105_1_2_,29.66_29.64_28.80_28.79_28.52_,9_3_4_15_1_
13:17:31,29.78,1,41,29.80_29.84_30.23_30.40_30.50_,2_8_105_1_2_,29.67_29.66_29.64_28.80_28.79_,3_9_4_3_15_
13:17:41,29.78,1,41,29.80_29.84_30.23_30.40_30.50_,2_8_105_1_2_,29.67_29.66_29.64_28.80_28.79_,3_10_3_3_15_
13:17:52,29.78,1,41,29.84_30.23_30.40_30.50_30.54_,8_105_1_2_1_,29.67_29.66_29.64_28.80_28.79_,3_9_4_3_15_
13:18:07,29.78,1,41,29.83_29.84_30.23_30.40_30.50_,2_8_105_1_2_,29.67_29.66_29.64_28.80_28.79_,4_9_3_3_15_
13:19:14,29.78,1,41,29.83_29.84_30.23_30.40_30.50_,2_8_105_1_2_,29.67_29.66_29.64_28.80_28.79_,3_10_1_3_15_
13:19:44,29.78,1,41,29.83_29.84_30.23_30.40_30.50_,2_8_105_1_2_,29.67_29.66_29.64_28.80_28.79_,3_9_2_3_15_
13:20:46,29.78,1,41,29.83_29.84_30.23_30.40_30.50_,2_8_105_1_2_,29.67_29.66_29.64_28.80_28.79_,3_9_2_3_15_
13:26:05,29.78,1,41,29.83_29.91_30.23_30.40_30.50_,2_9_5_1_2_,29.75_29.73_29.67_29.66_29.64_,1_8_3_1_1_
13:27:22,29.78,1,41,29.91_30.23_30.40_30.50_30.54_,1_5_1_2_1_,29.75_29.67_29.66_29.64_28.80_,1_3_1_1_3_
13:29:35,29.78,1,41,30.23_30.40_30.50_30.54_30.80_,5_1_2_1_5_,29.67_29.66_29.64_28.80_28.79_,3_1_1_3_15_
13:30:00,29.78,1,41,30.23_30.40_30.50_30.54_30.80_,5_1_2_1_5_,29.67_29.66_29.64_28.80_28.79_,3_1_1_3_15_
